# region irank jrank data_tot data_tx data_rx nmsg_tx nmsg_rx
ipm_global 44 5 4055040 4055040 0 99 0
ipm_global 44 12 227328 113664 113664 604 604
ipm_global 44 28 97391408 48695704 48695704 498 498
ipm_global 44 32 239879616 119939808 119939808 996 996
ipm_global 44 33 9499168 4749584 4749584 498 498
ipm_global 44 34 9334032 4667016 4667016 498 498
ipm_global 44 35 9370208 4685104 4685104 498 498
ipm_global 44 36 682333108 640272052 42061056 36074 3151
ipm_global 44 37 103134992 51026824 52108168 1543 1576
ipm_global 44 38 9462992 4731496 4731496 498 498
ipm_global 44 39 9499168 4749584 4749584 498 498
ipm_global 44 40 240043792 120021896 120021896 1124 1124
ipm_global 44 41 9462992 4731496 4731496 498 498
ipm_global 44 42 9299760 4649880 4649880 498 498
ipm_global 44 43 3251568544 2953300576 298267968 35470 31108
ipm_global 44 44 9370208 4685104 4685104 498 498
ipm_global 45 5 5103616 4579328 524288 163 64
ipm_global 45 13 227328 113664 113664 604 604
ipm_global 45 29 99712688 49856344 49856344 498 498
ipm_global 45 32 7435808 3717904 3717904 498 498
ipm_global 45 33 247153376 123576688 123576688 996 996
ipm_global 45 34 9462992 4731496 4731496 498 498
ipm_global 45 35 9499168 4749584 4749584 498 498
ipm_global 45 36 9628128 4814064 4814064 498 498
ipm_global 45 37 684363876 640746764 43617112 36074 3184
ipm_global 45 38 9591952 4795976 4795976 498 498
ipm_global 45 39 9628128 4814064 4814064 498 498
ipm_global 45 40 9462992 4731496 4731496 498 498
ipm_global 45 41 245318672 122659336 122659336 1124 1124
ipm_global 45 42 9428720 4714360 4714360 498 498
ipm_global 45 43 10150336 5075168 5075168 498 498
ipm_global 45 44 3818996448 3237333968 581662480 36096 31734
ipm_global 45 45 9628128 4814064 4814064 498 498
ipm_global 46 5 5046272 5046272 0 121 0
ipm_global 46 6 1048576 524288 524288 64 64
ipm_global 46 14 227328 113664 113664 604 604
ipm_global 46 30 96052896 48026448 48026448 498 498
ipm_global 46 32 7335152 3667576 3667576 498 498
ipm_global 46 33 9462992 4731496 4731496 498 498
ipm_global 46 34 237754432 118877216 118877216 996 996
ipm_global 46 35 9334032 4667016 4667016 498 498
ipm_global 46 36 9462992 4731496 4731496 498 498
ipm_global 46 37 10247280 5123640 5123640 498 498
ipm_global 46 38 683218964 640129252 43089712 36074 3195
ipm_global 46 39 9462992 4731496 4731496 498 498
ipm_global 46 40 9297856 4648928 4648928 498 498
ipm_global 46 41 9426816 4713408 4713408 498 498
ipm_global 46 42 236028256 118014128 118014128 1124 1124
ipm_global 46 43 9949024 4974512 4974512 498 498
ipm_global 46 44 9561360 4780680 4780680 1102 1102
ipm_global 46 45 3813286556 3233893492 579393064 35968 31617
ipm_global 46 46 9297856 4648928 4648928 498 498
ipm_global 47 5 5046272 5046272 0 121 0
ipm_global 47 7 1048576 524288 524288 64 64
ipm_global 47 15 227328 113664 113664 604 604
ipm_global 47 31 97391408 48695704 48695704 498 498
